"BehaviorSpace results (NetLogo 6.3.0)"
"cooperation_spatial_diversity.nlogo"
"random-local-roaming"
"10/10/2023 10:52:35:345 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","63","0","63"
"[run number]","roaming-agents","noise-factor","synergy-factor","neighborhood-type","world-size","imitation-policy","[step]","mean-cooperators1k"
"74","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0032033920288085938"
"73","0","0.5","2.5","random Moore","64","fermi-dirac","2048","8.566379547119141E-4"
"78","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0"
"76","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0010285377502441406"
"77","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0"
"75","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0"
"79","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0015442371368408203"
"80","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0021886825561523438"
"81","0","0.5","2.5","random Moore","64","fermi-dirac","2048","7.414817810058594E-4"
"82","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0010962486267089844"
"84","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0016741752624511719"
"83","0","0.5","2.5","random Moore","64","fermi-dirac","2048","7.772445678710938E-4"
"86","0","0.5","2.5","random Moore","64","fermi-dirac","2048","8.399486541748047E-4"
"85","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0024979114532470703"
"87","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0018095970153808594"
"88","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0"
"89","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.001104593276977539"
"90","0","0.5","2.5","random Moore","64","fermi-dirac","2048","8.401870727539062E-4"
"92","0","0.5","2.5","random Moore","64","fermi-dirac","2048","9.372234344482422E-4"
"91","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0"
"93","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0016093254089355469"
"94","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0031991004943847656"
"95","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0010690689086914062"
"96","0","0.5","2.5","random Moore","64","fermi-dirac","2048","7.328987121582031E-4"
"97","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0"
"98","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.0016934871673583984"
"101","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03677964210510254"
"102","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.04004979133605957"
"103","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02733755111694336"
"105","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.014136314392089844"
"104","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03285837173461914"
"99","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0"
"106","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02581954002380371"
"107","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.008851289749145508"
"108","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03700971603393555"
"100","0","0.5","2.5","random Moore","64","fermi-dirac","2048","0.002858400344848633"
"111","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.04387021064758301"
"109","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.04893231391906738"
"110","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02821636199951172"
"113","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.018136024475097656"
"112","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03630971908569336"
"114","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.05260658264160156"
"115","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.0247342586517334"
"118","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.023975133895874023"
"120","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03677082061767578"
"116","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.019443273544311523"
"117","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.043177127838134766"
"121","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.0320889949798584"
"119","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.04792332649230957"
"122","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02918100357055664"
"123","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03683280944824219"
"126","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.040398597717285156"
"125","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.04987740516662598"
"124","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.033435821533203125"
"127","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03200864791870117"
"128","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03403425216674805"
"129","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.023859739303588867"
"130","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.030196428298950195"
"131","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.030504226684570312"
"132","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.052556514739990234"
"133","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02662801742553711"
"135","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.012674331665039062"
"134","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.018472671508789062"
"136","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.04735445976257324"
"137","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.051444292068481445"
"138","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.08065223693847656"
"139","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.0257875919342041"
"142","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.024492740631103516"
"140","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.03170633316040039"
"141","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.04677462577819824"
"143","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02511119842529297"
"144","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.027757883071899414"
"145","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.022441864013671875"
"146","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.0357205867767334"
"147","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.05138540267944336"
"148","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02543044090270996"
"150","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.032761335372924805"
"149","0","0.5","2.6","random von Neumann","64","fermi-dirac","2048","0.02625584602355957"
"151","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"152","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0031843185424804688"
"153","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
